,Review Id,Content,ID
0,1,"I got what was shown, but I want to tell about the seller that my chat was not responded even after a couple of days, so please make your availability there so that the customer can place the order with full sitesify. Because the amount matters But my goal was to buy the product from there, so I took what I have and it is 💯 %authentic, and the warranty has not started yet, But the handsfree did not come out of the box, maybe not provided by the company. So the Overall experience was great and the seller is highly recommended. Thanks Daraz & Seller.🥰",2
1,2,Great Experience as usual and I have purchased many mobiles from DARAZ but this time get maximum discount in 11/11 Sales on Note 30 pro,2
2,3,Allahamdolilah received📩 mobile is original and new as mentioned recommended for buying. same thing which is ordered rather late delivered,2
3,4,"Acha mobile hai and same cheez delivered ki hai with fast delivery service, satisfied with daraz and seller, i bought many mobiles from daraz aj tak koi b mobile kharab nhe nikla, thanks daraz for maintenance of trust with customers. love from Rawalpindi",2
4,5,Allahamdolilah received📩 mobile is original and new as mentioned recommended for buying. same thing which is ordered rather late delivered,2
5,6,I received my parcel two days ago. genuine products hai ❤️❤️aur time pr delivered hua.😍 Dill khush ho gia cell dekh kr thank you so much bhai🥰,2
6,7,buht acha phone ha original phone one year official warranty ha ❤❤,2
7,8,real mobile set with complete box having wire charger wireless charger. jack pin with non active phone set. this is non active mobile set. i really very happy. thanks dear,2
8,9,bahot acha mobile hy thanks daraz and seller,2
9,10,Pin packed and original product Recommended seller,2
10,11,good packing. arrived at time but mic ka problem lagta hai awaz agay bohat kam jati hai. subah tak daikhta ho nai tu return kar du ga,2
11,12,nice product I ma really happy to buy from daraz and thank you seller pin packed product 😍😍😍😍i am really confused to buy this but amazing product ☺ you should also believe the saller and daraz,2
12,13,Recommended seller... awesome product,2
13,14,received original authentic,2
14,15,"alhumdullilah, absolutely satisfied total genuine mobile complete accessories with wireless charging pad mobile is pin pack PTA approved thanks to teletel and daraz",2
15,1,achhi packing but charging adapter was normal no handsfree no protector no mobile cover baqi use kr ke pta chalay ga dekhnay nice hai,3
16,2,Alhamdulillah same recieved as shown in picture. Same specifications A1 condition and fast delivery. Thanks Daraz. i recmond it and i order one more.,3
17,3,mobile is just go0d. average in use.. bettery timing is go0d.. camera is just average. overall ghar use k lia thek hai jaha bs call waghaira k lia instmal hota ho,3
18,4,"I upgraded my stand by phone from A1+ to A2+. I received this phone in great packaging. Delivery was fast. Phone seems a little better than A1+. I wish it would have Type C charging. I'm surprised to see the camera quality, display and battery timing of this phone. A perfect phone in this range with very few compromises. Highly recommended.",3
19,5,"Assalamu Alaikum, Thank God & Thanks Daraz Team & Wander/seller (XIAOMI). Good Packing & Short Delivery time. Original Product 100%. Recommended. Khushe hai ke AAZADI SALE mai itny Best Price main Redmi A2+ Offer kiya gya, Thanks Daraz app.",3
20,6,"I recently ordered a phone , and I must say it was a convenient experience. The website had a user-friendly interface, making it easy to browse and compare options. Placing the order was straightforward, and they provided clear shipping information. The phone arrived in good condition and on time. Overall, a hassle-free online phone shopping experience.",3
21,7,received my order .The product is very good .I am satisfied with Daraz and the seller response is good .But LCS service is poor due to not deliver my parcel to me not to inform me and delivered my parcel any other address.,3
22,8,Very good quality and design. Mobile is genuine and working fine so far. Delivery was quite quick and I received the mobile next day of ordering. price was competitive with market. thank you Daraz.,3
23,9,Genuine product and good cell phone in this range .. got at the lowest price through HBL Mega Deal 👍 .. Properly packed and timely delivered .. Satisfied with the seller 🙂 .. Cheers 🙂 !! #11.11,3
24,10,Awesome 😎 💯% Original Product In This Price Range The Best Of The Best Mobile MI Redmi A2 Plus (3/64).... Thumbs up 👍 Is Price Range May Use Mobiles Ya Refurbish Mobile Milty hain To Kun Apnay Pasay Zaya Karain Use Or Refurbish Mobile lay kar Jab MI Redmi Day Raha Hay Brand New Box Pack Mobile MI Redmi A2 Plus (3/64) Bhot Hi Kaam Price May .....,3
